id,IFNg,IL-1ra/IL-1,"IL-2ra,","IL-6,","IL-10,","IL-18,","HGF,","MCP-3, (CCL7)","MIG,",M-CSF,G-CSF,"MIP-1a,",CTACK,IP-10(CXCL10)
IFNg,1,-1,-1,1,-1,1,0,1,1,0,0,1,1,1
IL-1ra/IL-1,1,0,0,0,0,1,1,1,1,1,0,1,0,1
"IL-2ra,",1,-1,-1,1,-1,1,0,1,1,0,1,1,1,1
"IL-6,",1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1
"IL-10,",1,-1,-1,1,-1,1,0,1,1,1,1,1,1,1
"IL-18,",1,-1,-1,1,-1,1,1,1,1,1,0,1,1,1
"HGF,",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCP-3, (CCL7)",1,0,0,0,0,1,0,1,1,1,0,1,0,1
"MIG,",1,-1,0,1,0,1,0,1,1,1,1,1,0,1
M-CSF,1,-1,-1,1,-1,1,1,1,1,1,0,1,1,1
G-CSF,1,0,0,0,0,1,1,1,1,1,0,1,0,1
"MIP-1a,",1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1
CTACK,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IP-10(CXCL10),1,-1,0,0,0,1,1,1,1,1,1,1,0,1
